Abhayapuri#-90.63;26.4&
Gadhada#-71.58;22&
Gadwal#-77.83;16.17&
Gagaria#-70.77;25.72&
Gahmar#-83.82;25.45&
Gambhir#-77.45;26.97&
Gandak#-85.22;25.65&
Gandhi Sagar#-75.67;24.67&
Gandhinagar#-72.75;23.25&
Ganga#-90.5;23.33&
Ganga Sagar#-88.08;21.63&
Gangan#-78.97;28.63&
Ganganagar#-73.93;29.93&
Gangapur#-76.82;26.53&
Ganges/Ganga#-90.5;23.33&
Ganges, Mouths of the#-90;21.5&
Gangoh#-77.3;29.77&
Gangroti#-79.17;30.83&
Gangtok#-88.62;27.33&
Ganj#-78.95;27.75&
Gapat#-82.47;24.5&
Garautha#-79.3;25.57&
Garbiyan#-80.9;30.13&
Garo Hills#-90.5;25.5&
Garot#-75.68;24.32&
Garrauli#-79.37;25.08&
Garu#-84.23;23.67&
Garwa#-83.78;24.18&
Gauhati/Guwahati#-91.75;26.17&
Gauri Phanta#-80.6;28.68&
Gawilgarh Hills#-76.75;21.25&
Gaya#-85.07;24.78&
Ghaggar#-74.88;29.5&
Ghaghara#-84.67;25.75&
Ghagra#-84.55;23.28&
Ghagra#-81.15;27.48&
Ghansor#-80.02;22.65&
Ghatal#-87.77;22.67&
Ghatampur#-80.22;26.13&
Ghatsila#-86.48;22.6&
Ghaziabad#-77.43;28.7&
Ghazipur#-83.58;25.63&
Ghotaru#-70.02;27.33&
Ghughri#-80.68;22.65&
Ghugus#-79.2;19.97&
Gilgit#-74.25;35.83&
Gir Hills#-71;21&
Girab#-70.63;26.03&
Giri#-77.68;30.47&
Giridih#-86.35;24.17&
Goa#-73.98;15.55&
Goa#-73.98;15.55&
Goalpara#-90.67;26.17&
Goaltor#-87.17;22.72&
Godavari#-82.3;16.42&
Godavari Pt.#-82.33;17&
Godda#-87.22;24.83&
Godhra#-73.67;22.82&
Gogra= Ghaghara#-84.67;25.75&
Gohana#-76.7;29.13&
Goharganj#-77.68;23.02&
Goi#-74.77;22.07&
Gola#-80.53;28.05&
Golakganj#-89.87;26.13&
Gomati#-83.18;25.53&
Gomoh#-86.17;23.87&
Gonda#-81.97;27.15&
Gondal#-70.87;21.97&
Gondia#-80.17;21.38&
Gop#-69.83;22.08&
Gopalganj#-84.5;26.47&
Gorakhpur#-83.38;26.78&
Goriganga#-80.38;29.75&
Govindgarh#-81.3;24.38&
Great Indian Desert/Thar Desert#-72;28&
Gua#-85.33;22.3&
Gudur#-79.92;14.2&
Gujarat#-71;23.33&
Gulbarga#-76.83;17.33&
Gulmarg#-74.42;34.05&
Gumla#-84.55;23.05&
Guna#-77.32;24.67&
Guntakal#-77.45;15.18&
Guntur#-80.5;16.38&
Gurdaspur#-75.52;32.08&
Gurgaon#-77.02;28.45&
Gurha#-71.65;25.2&
Guwahati#-91.75;26.17&
Gwalior#-78.17;26.2&
Haflong#-93.08;25.17&
Haidargarh#-81.37;26.62&
Hajipur#-85.22;25.75&
Haldia#-88.05;22.08&
Haldwani#-79.5;29.52&
Halia#-82.32;24.83&
Halvad#-71.18;23.02&
Hamirpur H.P.#-76.52;31.68&
Hamirpur, Ut. P.#-80.15;25.95&
Handwara#-74.33;34.35&
Hanle#-79.07;32.7&
Hansdiha#-87.08;24.6&
Hansi#-75.95;29.17&
Hanumangarh#-74.32;29.58&
Haora#-88.33;22.62&
Hapur#-77.75;28.75&
Harda#-77.08;22.45&
Hardoi#-80.1;27.43&
Hardwar/Haridwar#-78.15;29.97&
Haridwar#-78.15;29.97&
Harrai#-79.22;22.62&
Harsud#-76.73;22.1&
Haryana#-76.17;29&
Hasdo#-82.73;21.73&
Hathras#-78.1;27.6&
Hatta#-79.6;24.12&
Hazaribag#-85.43;23.97&
Hazaribag Road#-85.95;24.2&
Himachal Pradesh#-77;31.5&
Himatnagar#-72.95;23.62&
Hindaun#-77.08;26.73&
Hindupur#-77.53;13.82&
Hinganghat#-78.87;20.5&
Hingir#-83.68;21.95&
Hingoli#-77.25;19.68&
Hirakud Dam#-83.75;21.53&
Hiran#-79.35;23.1&
Hirapur#-79.22;24.37&
Hisar#-75.75;29.2&
Hooghly/Hugli#-88.07;21.93&
Hooghly-Chinsura/Chunchura#-88.45;22.88&
Hoshangabad#-77.75;22.75&
Hoshiarpur#-75.97;31.5&
